Climate Emergency Declaration (CED) data sheet,,,,<-Click link in Cell A1 to view as full-screen directly in Google Drive,,,,,,,,,,,,,,,,,,,
Number of CED places:,,2366,,Total population:,"1,065,477,438",<-includes EU declaration | global % ->,,13.44%,,,,,,,,,,,,,,,
Nations with at least one CED place:,,40,,Total population:,"852,146,370",<-excluding EU declaration,,10.65%,,,,,,,,,,,,,,,
Number of national CEDs:,,18 (& EU),,Total population:,"377,163,097",<-excluding national and EU declarations,,4.71%,,,,,,,,,,,,,,,
Number of subnational state/region CEDs:,,41,,,,,,,,,,,,,,,,,,,,,
"To ask for additions or corrections to this data sheet, email info@cedamia.org",,,,,(See note re targets on the Notes tab),,,,,,,,,,,,,,,,,,
Jurisdictions (by country),,Region,Population,Date,Carbon neutral / net zero target dates,,Declaration type,Minutes / motion text,Media article,CE Action Plan,Council news,Agenda item,Council majority / strongest group,Council composition,C40,ICLEI,Covenant of Mayors,Under2,Carbon Neutral Cities Alliance,Climate Alliance,Cities Power Partnership,Race to Zero,Fossil Fuel Non-proliferation Treaty
Broadclyst Parish Council,,England,"1,467",1 Jul 2019,,2050,Declared CE,https://www.cedamia.org/ced-uk-from-july-2019/,,,https://www.broadclyst.org/parish-council/council-business/climate-change,,,,,,,,,,,,
Broadhembury Parish Council,,England,654,24 Sep 2019,,,Declared CE,https://broadhemburyparishcouncil.files.wordpress.com/2019/10/september-minutes-2019-2.pdf,,,,,,,,,,,,,,,
Broadhempston Parish Council,,England,641,11 Apr 2019,,,Declared CE,https://e6a64ed4-8092-4905-8373-937300a3e2c7.filesusr.com/ugd/65498a_10db9bde1114494c9e651a310a091ae2.pdf,,,,,,,,,,,,,,,
Broadland District Council,,England,"131,721",27 Jul 2023,,,Climate & Biodiversity,https://www.southnorfolkandbroadland.gov.uk/news/article/333/broadland-climate-and-biodiversity-emergency-declared,,,,,NOC,,,,,,,,,,
Brockhampton Group Parish Council,,England,106,24 Apr 2019,,,Declared CE,https://brockhamptongrouppc.org.uk/minutes-24-april-2019/,,,,,,,,,,,,,,,
Bromsgrove District Council,,England,"96,876",24 Jul 2019,,,Declared CE,,https://www.bromsgrovestandard.co.uk/news/bromsgrove-district-council-declares-a-climate-emergency/,,,,Conservative,,,,,,,,,,
Bromyard & Winslow Town Council,,England,"4,500",25 Jun 2019,2030,asap,Declared CE,http://www.bromyardandwinslow-tc.gov.uk/wp-content/uploads/2019/07/C19_149-2-Minutes-06.25.19-Extraordinary-Council.pdf,,,,,,,,,,,,,,,
Broxtowe Borough Council,,England,"113,272",17 Jul 2019,2027,2027,Declared 'CE',https://democracy.broxtowe.gov.uk/ieListDocuments.aspx?CId=156&MId=255&Ver=4,https://www.climateemergency.uk/blog/broxtowe/,https://www.broxtowe.gov.uk/media/8047/climate-change-and-green-futures-programme-combined-doc.pdf,,,NOC,,,,,,,,,,
Buckfastleigh Town Council,,England,"3,326",12 Mar 2019,,2030,Declared 'CE',https://buckfastleigh.gov.uk/files/2019/03/Climate-Emergency-Motion.pdf,,,https://buckfastleigh.gov.uk/,,,,,,,,,,,,
Buckhurst Hill Parish Council,,England,"11,380",1 Oct 2020,,2030,Declared CE,,https://www.eppingforestguardian.co.uk/news/18771297.buckhurst-parish-council-declares-climate-emergency/,,,https://buckhursthillpc.gov.uk/wp-content/uploads/2020/09/Agenda-02-011020-.pdf,,,,,,,,,,,
Buckingham Town Council,,England,"12,890",15 Jul 2019,2030,,Declared CE,https://www.buckingham-tc.gov.uk/wp-content/uploads/2020/02/190715-15th-July-2019-Full-Council.pdf,https://www.buckinghamtoday.co.uk/news/people/climate-emergency-declared-in-buckingham-1-9000730,,,https://www.buckingham-tc.gov.uk/your-town-council/committees/annual-meetings/full-council-agenda/,,,,,,,,,,,
Buckinghamshire Council,,England,"578,725",26 Sep 2019,,,Global emergency,https://www.climateemergency.uk/blog/buckinghamshire/,,,,,Conservative,"Conservative161, Liberal Democrats 18, Independent 10, Labour 9, Green 1 ",,,,,,,,,
Bude-Stratton Town Council,,England,"9,242",5 Sep 2019,,2030,Declared CE,https://www.bude-stratton.gov.uk/wp-content/uploads/2019/10/Full-Council-5th-September-2019.pdf,http://budeandbeyond.co.uk/climate-emergency-declared-in-bude/,https://www.bude-stratton.gov.uk/wp-content/uploads/2020/09/BUDE-CLIMATE-ACTION-PLAN-v1.2-MARCH-2020.pdf,,https://www.bude-stratton.gov.uk/wp-content/uploads/2019/08/Full-Council-agenda-5th-September-2019.pdf,,,,,,,,,,,
Budleigh Salterton Town Council,,England,"6,575",22 Jul 2019,,2030,Declared CE,http://www.budleighsaltertontowncouncil.gov.uk/_UserFiles/Files/_Minutes/64416-cm0719.pdf,https://eastdevonnews.co.uk/2019/07/25/budleigh-salterton-declares-climate-emergency/,,,http://www.budleighsaltertontowncouncil.gov.uk/_UserFiles/Files/_Agendas/64416-ca0719.pdf,,,,,,,,,,,
Burgess Hill Town Council,,England,"30,635",15 Jul 2019,,,Climate & Biodiversity,https://www.burgesshill.gov.uk/sites/www.burgesshill.gov.uk/files/COUNCIL_MINUTES_-_Monday_15_July_2019.pdf,,,,,,,,,,,,,,,
Burnley Borough Council,,England,"88,527",10 Jul 2019,,2030,Declared 'CE',https://burnley.moderngov.co.uk/documents/g961/Printed%20minutes%2010th-Jul-2019%2018.30%20Full%20Council.pdf?T=1,https://www.climateemergency.uk/blog/burnley/,,,,Labour,,,,,,,,,,
Bury Metropolitan Borough Council,,England,"190,108",10 Jul 2019,2038,2038,Declared CE,https://councildecisions.bury.gov.uk/documents/g2378/Public%20reports%20pack%2010th-Jul-2019%2019.00%20Council.pdf?T=10,https://www.burytimes.co.uk/news/17762467.bury-council-declares-climate-emergency-call-action/,https://www.mynewsdesk.com/uk/bury-council/pressreleases/ps17m-budget-pledge-to-address-the-climate-emergency-2976616,,https://councildecisions.bury.gov.uk/documents/g2378/Public%20reports%20pack%2010th-Jul-2019%2019.00%20Council.pdf?T=10,Labour,"Labour (29), Conservative (16), Liberal Democrats (4), Independent (2)",,,,,,,,Yes,
Caerphilly County Borough Council,,Wales,"181,019",4 Jun 2019,2030,,Declared CE,https://caerphilly.public-i.tv/core/portal/webcast_interactive/415198/start_time/1901000,https://caerphilly.observer/news/977142/council-pass-climate-emergency-motion/,https://www.caerphilly.gov.uk/CaerphillyDocs/Council-and-democracy/DecarbonisationStrategy/DecarbonStrategy2020_eng.aspx,,https://democracy.caerphilly.gov.uk/documents/s29081/NOM%20Covering%20Report.pdf?LLL=0,Labour,"Labour 50, Plaid Cymru 18, Independent 5",,,,,,,,,
Caia Park Community Council,,Wales,"12,602",13 Jun 2019,,,Declared 'CE',https://caiapark.gov.uk/pdf/Minutes_130619.pdf,https://www.leaderlive.co.uk/news/17708727.climate-change-emergency-declared-in-caia-park/,,,https://www.caiapark.gov.uk/pdf/Agenda-1.pdf,,,,,,,,,,,
Calderdale Council (UA),,England,"200,100",30 Jan 2019,2038,2038,Declared CE,https://www.calderdale.gov.uk/nweb/COUNCIL.minutes_pkg.view_doc?p_ID=55294&p_Type=A,,https://www.calderdale.gov.uk/nweb/COUNCIL.minutes_pkg.view_doc?p_Type=AR&p_ID=69871,,,NOC,,,,,,,,,Yes,
Cambridge City Council,,England,"125,758",21 Feb 2019,2030,,Declared CE,https://democracy.cambridge.gov.uk/documents/g3405/Printed%20minutes%2021st-Feb-2019%2018.00%20Council.pdf?T=1,https://climateemergency.uk/blog/cambridge-city-council/,https://data.climateemergency.uk/media/data/plans/cambridge-city-council-98f08f0.pdf,,,Labour,,,,,,,,,,Yes
Cambridgeshire County Council,,England,"651,482",14 May 2019,2030,2045,climate & environment,https://cambridgeshire.cmis.uk.com/CCC_live/Document.ashx?czJKcaeAi5tUFL1DTL2UE4zNRBcoShgo=oSKQW2tLJiZqt0n%2fhBWiq9t3TvOnL5%2fC6ayCT2JROp2g%2bE0QDs8yWg%3d%3d&rUzwRPf%2bZ3zd4E7Ikn8Lyw%3d%3d=pwRE6AGJFLDNlh225F5QMaQWCtPHwdhUfCZ%2fLUQzgA2uL5jNRG4jdQ%3d%3d&mCTIbCubSFfXsDGW9IXnlg%3d%3d=hFflUdN3100%3d&kCx1AnS9%2fpWZQ40DXFvdEw%3d%3d=hFflUdN3100%3d&uJovDxwdjMPoYv%2bAJvYtyA%3d%3d=ctNJFf55vVA%3d&FgPlIEJYlotS%2bYGoBi5olA%3d%3d=NHdURQburHA%3d&d9Qjj0ag1Pd993jsyOJqFvmyB7X0CSQK=ctNJFf55vVA%3d&WGewmoAfeNR9xqBux0r1Q8Za60lavYmz=ctNJFf55vVA%3d&WGewmoAfeNQ16B2MHuCpMRKZMwaG1PaO=ctNJFf55vVA%3d,,https://www.cambridgeshire.gov.uk/residents/climate-change-energy-and-environment/climate-change-and-environment-strategy,,,Conservative,,,,,,,,,Yes,
Camden London Borough Council,,England,"262,226",9 Apr 2019,,2030,climate & ecological,,http://camdennewjournal.com/article/climate-emergency-declared-as-councillors-unite-to-go-green,https://news.camden.gov.uk/camden-approves-ambitious-five-year-climate-action-plan/,https://www.climateemergency.uk/blog/camden/,,Labour,"Labour (43), Conservative (7), Liberal Democrat (3), Green (1)",Yes,,Yes,,,,,Yes,
Camelford Town Council,,England,"2,945",4 Jul 2019,,,Declared CE,https://www.camelford-tc.gov.uk/wp-content/uploads/2019/07/CTC-Minutes-4th-July-2019.pdf,http://www.thepost.uk.com/article.cfm?id=113193&headline=Camelford%20formally%20declare%20a%20climate%20emergency&sectionIs=news&searchyear=2019,,,,,,,,,,,,,,
Cannock Chase District Council,,England,"100,109",17 Jul 2019,2030,2030,Declared CE,https://www.cannockchasedc.gov.uk/sites/default/files/full_papers_-_council_170719.pdf,https://www.expressandstar.com/news/local-hubs/wolverhampton/2019/07/20/wolverhampton-council-declares-climate-emergency/,,,https://www.cannockchasedc.gov.uk/sites/default/files/01-agenda_council_170719.pdf,NOC,,,,,,,,,,
Canterbury City Council,,England,"164,553",18 Jul 2019,2030,2030,Declared CE,https://democracy.canterbury.gov.uk/documents/g12133/Printed%20minutes%2018th-Jul-2019%2019.00%20Council.pdf?T=1,,https://data.climateemergency.uk/media/data/plans/canterbury-city-council-b2cc08b.pdf,,https://democracy.canterbury.gov.uk/ieListDocuments.aspx?CId=138&MId=12133&Ver=4,Conservative,"Conservative 23, Labour Party 10, Liberal Democrat 6",,,,,,,,,
Cardiff Council,,Wales,"364,248",28 Mar 2019,2030,2030,Declared 'CE',https://cardiff.moderngov.co.uk/documents/g3507/Printed%20minutes%2028th-Mar-2019%2016.30%20Council.pdf?T=1,https://climateemergency.uk/blog/cardiff/,https://data.climateemergency.uk/media/data/plans/cardiff-council-588cb29.pdf,,,Labour,"Welsh Labour (38), Welsh Conservatives (21), Welsh Lib Dems (11), Welsh National Party (4)",,,Yes,,,,,,
Cardigan Town Council,,Wales,"4,184",2 Apr 2019,,,Declared CE,http://www.ctaberteifi.co.uk/Core/Cardigan-Town-Council/UserFiles/Files/2019%20Minutes/2019-4-Ebrill-April%202.pdf,https://www.tivysideadvertiser.co.uk/news/17577671.cardigan-town-councillors-back-motion-declaring-a-climate-emergency/,https://data.climateemergency.uk/media/data/plans/carlisle-city-council-555f398.pdf,,,,,,,,,,,,,
Carlisle City Council (UA),,England,"108,387",5 Mar 2019,2037,2037,Declared 'CE',https://carlisle.cmis.uk.com/Meetings/tabid/73/ctl/ViewMeetingPublic/mid/410/Meeting/4573/Committee/823/Default.aspx,https://climateemergency.uk/blog/carlisle/,https://www.carlisle.gov.uk/Portals/0/Documents/Council/Council_and_Democracy/ClimateChange/Climate%20Change%20Strategy.pdf?timestamp=1615171727065,,,NOC,,,,,,,,,,
Carmarthenshire County Council,,Wales,"187,568",20 Feb 2019,2030,2030,Declared CE,http://democracy.carmarthenshire.gov.wales/documents/g2126/Printed%20minutes%2020th-Feb-2019%2010.00%20County%20Council.htm?T=1&CT=2,,https://data.climateemergency.uk/media/data/plans/carmarthenshire-county-council-225a2b3.pdf,https://newsroom.carmarthenshire.gov.wales/2020/02/carmarthenshire-first-to-publish-climate-action-plan/#.X9MbobNBWUk,http://democracy.carmarthenshire.gov.wales/ieListDocuments.aspx?CId=155&MId=2178&Ver=4,NOC,,,,,,,,,,
Causeway Coast and Glens Borough Council,,Northern Ireland,"140,877",8 Jun 2020,2030,2030,Declared CE,https://www.causewaycoastandglens.gov.uk/council/minutes/environmental-services-committee-meeting-9th-june-2020,,,,,NOC,,,,,,,,,,
Ceredigion County Council,,Wales,"72,992",5 Mar 2020,2030,,Declared Global CE,,,https://data.climateemergency.uk/media/data/plans/ceredigion-county-council-b094a50.pdf,http://www.ceredigion.gov.uk/resident/news/council-declares-global-climate-emergency/,http://www.ceredigion.gov.uk/cpdl/Democratic_Services_Meetings_Public/0%20agenda%20Cyngor%2005.03.20.pdf,NOC,,,,,,,,,,
Chagford Parish Council,,England,"1,449",11 Nov 2019,,,Climate & Ecological,https://docs.google.com/viewer?url=https://www.chagford-parish.co.uk/files/11_11_2019.pdf,,https://www.chagford-parish.co.uk/climate-emergency,https://www.chagford-parish.co.uk/climate-emergency,,,,,,,,,,,,
Char Valley Parish Council,,England,"1,139",10 Jun 2019,,,climate & environment,https://www.hugofox.com/shared/attachments.asp?f=6743b3fb%2D47d7%2D4fab%2D953d%2D1127af1094be%2Epdf&o=Minutes%2Dfor%2DJune%2D2019%2Epdf,,https://www.charvalley.org/climate-action-plan.html,https://www.charvalley.org/environment.html,,,,,,,,,,,,
Chard Town Council,,England,"13,074",18 Feb 2019,,2028,Climate Emergency,https://www.chard.gov.uk/wp-content/uploads/02-Full-Town-Council-Minutes-DRAFT-18th-February-2019.pdf,https://www.chardandilminsternews.co.uk/news/17469219.somerset-scc-declares-climate-emergency/,,,,,,,,,,,,,,
Chardstock Parish Council,,England,828,12 Feb 2020,,,Declared CE,http://www.chardstockpc.org.uk/wp-content/uploads/2020/02/February-2020-ORD-Minutes-CPC-Draft-v2..pdf,,,,,,,,,,,,,,,
Charnwood Borough Council,,England,"182,817",6 Nov 2023,,,Declared CE,https://charnwood.moderngov.co.uk/documents/s12808/Motions%20on%20Notice.pdf,,,https://www.charnwood.gov.uk/news/2023/11/14/councillors_declare_climate_emergency_and_commit_to_taking_action_to_tackle_global_warming,,NOC,"Conservative 23, Labour 20, Green 8, Independent 1",,,,,,,,,
Chelmsford City Council,,England,"177,079",16 Jul 2019,2030,,Climate & Ecological,https://www.chelmsford.gov.uk/_resources/assets/inline/full/0/2697975.pdf,https://www.climateemergency.uk/blog/chelmsford/,https://www.chelmsford.gov.uk/_resources/assets/inline/full/0/3649750.pdf,,,Lib Dem,"Liberal Democrat 31, Conservative 21",,,,,,,,,
Cheltenham Borough Council  (UA),,England,"117,090",18 Feb 2019,,2030,Declared 'CE',https://democracy.cheltenham.gov.uk/documents/g2890/Public%20minutes%2018th-Feb-2019%2014.30%20Council.pdf?T=11,,https://www.cheltenham.gov.uk/info/61/climate_and_sustainability/1622/climate_emergency/3,,https://democracy.cheltenham.gov.uk/documents/b7248/Notices%20of%20Motion%2018th-Feb-2019%2014.30%20Council.pdf?T=9,Lib Dem,,,,,,,,,Yes,
Cherwell District Council,,England,"149,161",22 Jul 2019,2030,2030,Declared 'CE',http://modgov.cherwell.gov.uk/documents/g3238/Decisions%20Monday%2022-Jul-2019%2018.30%20Council.pdf?T=2,https://www.oxfordmail.co.uk/news/17793965.cherwell-district-council-declares-climate-emergency/,https://data.climateemergency.uk/media/data/plans/cherwell-district-council-f35f24f.pdf,,,Conservative,,,,,,,,,,
Chesham Town Council,,England,"21,483",9 Sep 2019,2030,,Declared CE,https://www.chesham.gov.uk/Council_Committees/2019Cl.aspx,,https://www.chesham.gov.uk/Document/Default.aspx?DocumentUid=B2AB440D-5576-4F1A-9E63-46A9100D5559,,,,,,,,,,,,,
Cheshire East Council,,England,"380,790",22 May 2019,2025,2030,Declared CE,https://moderngov.cheshireeast.gov.uk/ecminutes/documents/g7075/Printed%20minutes%2022nd-May-2019%2011.00%20Council.pdf?T=1,,https://moderngov.cheshireeast.gov.uk/ecminutes/documents/s76281/Carbon%20Neutral%20Action%20Plan%20-%20report%20final.pdf,https://www.cheshireeast.gov.uk/council_and_democracy/council_information/media_hub/media_releases/cheshire-east-agrees-carbon-neutral-action-plan.aspx,,NOC,"Conservative (34), Labour (25), Independent (8), Liberal Democrats (4), Residents of Wilmslow (4), Bollington First (2),  'Real Independent Group' (2), Alderley Edge First (1), Handforth Ratepayers (1), Independent Conservative (1)",,,,,,,,,
Cheshire West and Chester Council,,England,"340,502",21 May 2019,2030,2045,Declared 'CE',http://cmttpublic.cheshirewestandchester.gov.uk/documents/g5828/Public%20minutes%2021st-May-2019%2019.00%20Council.pdf?T=11,https://www.cheshire-live.co.uk/news/chester-cheshire-news/climate-emergency-declared-chester-west-16315722,https://www.cheshirewestandchester.gov.uk/your-council/councillors-and-committees/the-climate-emergency/documents/climate-emergency-response-plan.pdf,https://www.cheshirewestandchester.gov.uk/your-council/councillors-and-committees/the-climate-emergency/the-climate-emergency.aspx,http://cmttpublic.cheshirewestandchester.gov.uk/mgAi.aspx?ID=49515,Labour,,,,,,,,,,
Chesterfield Borough Council,,England,"104,628",17 Jul 2019,2030,2050,Declared CE,https://chesterfield.moderngov.co.uk/ieListDocuments.aspx?CId=136&MId=5434&Ver=4,,https://data.climateemergency.uk/media/data/plans/chesterfield-borough-council-410ed34.pdf,https://www.chesterfield.gov.uk/home/latest-news/motion-to-declare-a-climate-change-emergency.aspx,https://chesterfield.moderngov.co.uk/ieListDocuments.aspx?CId=136&MId=5434,Labour,,,,,,,,,,
Chew Magna Parish Council,,England,"1,149",1 Oct 2019,,,Declared CE,https://drive.google.com/file/d/1fvAx5Hw-dKqc24MN9yQB1_iUNp5wxwY4/view,,,,,,,,,,,,,,,
Chichester City Council,,England,"26,795",19 Jun 2019,,2030,Declared 'CE',https://chichestercity.gov.uk/abd/wp-content/uploads/2019/06/224-Council-Minutes.pdf,,,,https://chichestercity.gov.uk/abd/wp-content/uploads/2019/06/Council-224-Agenda.pdf,[parish powers  only],,,,,,,,,,
Chichester District Council,,England,"120,750",9 Jul 2019,,10%/year to 2025,Declared CE,https://chichester.moderngov.co.uk/documents/g1150/Printed%20minutes%20Tuesday%2009-Jul-2019%2009.30%20Cabinet.pdf?T=1,https://www.spiritfm.net/news/sussex-news/2910134/chichester-district-declares-climate-emergency/,https://chichester.moderngov.co.uk/documents/s16152/Climate%20Emergency%20Initial%20Action%20Plan%20Report.pdf,,http://chichester.moderngov.co.uk/ieListDocuments.aspx?CId=135&MId=1150&Ver=4,NOC,,,,,,,,,,
Chiltern District Council,,England,"95,927",24 Jul 2019,2030,,Declared CE,https://buckinghamshire.moderngov.co.uk/ceListDocuments.aspx?MeetingId=10452&DF=23%2f07%2f2019%2c%2018%3a30,https://www.climateemergency.uk/blog/chiltern/,,,,Conservative,,,,,,,,,,
Chippenham Town Council,,England,"45,620",27 Mar 2019,,,Declared CE,http://www.chippenham.gov.uk/wp-content/uploads/2019/04/Draft-Full-Council-Minutes-270319.pdf,,https://www.chippenham.gov.uk/wp-content/uploads/2022/05/CTC_0893_Corp_Strategic_Plan_A5_12pp_Apr_22.pdf,http://www.chippenham.gov.uk/12317-2,,,,,,,,,,,,
Christchurch Town Council,,England,"48,368",12 Jul 2021,2030,2050,Declared CE,https://christchurch-tc.gov.uk/wp-content/uploads/2021/07/20210712-Council-minutes-draft.pdf,https://www.bournemouthecho.co.uk/news/19465950.christchurch-councillors-declare-climate-emergency-town/,,,,,,,,,,,,,,
Chorley Borough Council,,England,"116,821",19 Nov 2019,,2030,Declared CE,https://democracy.chorley.gov.uk/documents/g7247/Printed%20minutes%2019th-Nov-2019%2018.30%20Council.pdf?T=1,https://www.lancs.live/news/lancashire-news/lancashire-councils-declared-climate-emergency-17602501,https://data.climateemergency.uk/media/data/plans/chorley-council-07fd048.pdf,,https://democracy.chorley.gov.uk/documents/g7247/Printed%20minutes%2019th-Nov-2019%2018.30%20Council.pdf?T=1,Labour,,,,,,,,,,
Chudleigh Town Council,,England,"4,011",15 Jul 2019,,,Climate & Environment,https://www.chudleigh-tc.gov.uk/usercontent/doc/1824/full%20council%20-%2015th%20july%202019.pdf,,,,,,,,,,,,,,,
Cirencester Town Council,,England,"19,076",9 Jul 2019,2030,,Declared CE,https://drive.google.com/file/d/1bbNyuNUA5aeUcr2qUtaYLoyh02sYD3AU/view,,,https://cirencester.gov.uk/new-blog/2022/8/1/climate-emergency-our-response,,,,,,,,,,,,
Clackmannanshire Council,,Scotland,"51,400",19 Aug 2021,2040,2045,Declared 'CE',https://www.google.com/url?client=internal-element-cse&cx=003785486861710258727:zojhh_daw0a&q=https://www.clacks.gov.uk/document/meeting/1/1100/7162.pdf,https://www.alloaadvertiser.com/news/20658202.clacks-council-adopts-plan-net-zero-2045/,,,,NOC,,,,,,,,,,
Clevedon Town Council,,England,"21,281",12 Jun 2019,2030,2030,Declared 'CE',https://www.cedamia.org/ced-uk-to-july-2019/,https://www.northsomersettimes.co.uk/news/clevedon-town-council-environment-plans-1-6220420,,,,,,,,,,,,,,
Cockermouth Town Council,,England,"8,761",19 Jun 2019,,,Declared CE,https://www.cockermouth.org/wp-content/uploads/2019/07/June-2019-.pdf,https://www.timesandstar.co.uk/news/17719656.town-council-declares-climate-emergency/,,,https://www.cockermouth.org/wp-content/uploads/2019/06/SC284@CTC19061211050.pdf,,,,,,,,,,,
Colchester Borough Council,,England,"192,523",17 Jul 2019,2030,,Declared CE,https://colchester.cmis.uk.com/colchester/Document.ashx?czJKcaeAi5tUFL1DTL2UE4zNRBcoShgo=uXcWkTsgpJtG5%2bmfAc%2fuSDCZq17sAAtXNhVLe9hu4EhfyghtQe73Bg%3d%3d&rUzwRPf%2bZ3zd4E7Ikn8Lyw%3d%3d=pwRE6AGJFLDNlh225F5QMaQWCtPHwdhUfCZ%2fLUQzgA2uL5jNRG4jdQ%3d%3d&mCTIbCubSFfXsDGW9IXnlg%3d%3d=hFflUdN3100%3d&kCx1AnS9%2fpWZQ40DXFvdEw%3d%3d=hFflUdN3100%3d&uJovDxwdjMPoYv%2bAJvYtyA%3d%3d=ctNJFf55vVA%3d&FgPlIEJYlotS%2bYGoBi5olA%3d%3d=NHdURQburHA%3d&d9Qjj0ag1Pd993jsyOJqFvmyB7X0CSQK=ctNJFf55vVA%3d&WGewmoAfeNR9xqBux0r1Q8Za60lavYmz=ctNJFf55vVA%3d&WGewmoAfeNQ16B2MHuCpMRKZMwaG1PaO=ctNJFf55vVA%3d,https://www.eadt.co.uk/news/extinction-rebellion-supports-essex-councillors-1-6171135,https://www.colchester.gov.uk/sustainability/our-climate-emergency-action-plan/,,https://colchester.cmis.uk.com/colchester/MeetingCalendar/tabid/70/ctl/ViewMeetingPublic/mid/397/Meeting/696/Committee/30/SelectedTab/Documents/Default.aspx,NOC,"Conservative Party 23, Liberal Democrats 13, Labour Party 11, Independent 3, Green Party 1 ",,,,,,,,,
Compton Martin Parish Council,,England,508,14 Oct 2019,,2030,Recognised CE,http://www.comptonmartinparishcouncil.org.uk/page44.html,,,,,,,,,,,,,,,
Congleton Town Council,,England,"26,482",19 Sep 2019,2025,,Declared CE,https://www.congleton-tc.gov.uk/wp-content/uploads/2019/10/Final-Council-Minutes-19.09.19.pdf,,,https://www.congleton-tc.gov.uk/climate-emergency/,,,,,,,,,,,,
Conwy County Borough Council,,Wales,"117,181",9 May 2019,2030,,Declared CE,https://modgoveng.conwy.gov.uk/documents/s124901/Minutes.pdf,,https://www.conwy.gov.uk/en/Council/Strategies-Plans-and-Policies/Climate-Change/Decarbonisation-Plan.aspx,,,NOC,,,,,,,,,,
Corby Borough Council,,England,"70,827",29 Aug 2019,,2030,Declared 'CE',https://www.corby.gov.uk/sites/default/files/29%20August%202019_0.pdf,https://www.northantstelegraph.co.uk/news/corby-council-declares-a-climate-emergency-1-9053987,https://data.climateemergency.uk/media/data/plans/corby-borough-council-346cfc3.pdf,,https://www.corby.gov.uk/sites/default/files/Motion%2029%20August%202019.pdf,Labour,,,,,,,,,,
Cornwall Council (UA),,England,"565,968",22 Jan 2019,,2030,Declared 'CE',https://democracy.cornwall.gov.uk/mgAi.aspx?ID=77298,https://www.cornwalllive.com/news/cornwall-news/cornwall-council-declares-climate-emergency-2458146,https://www.cornwall.gov.uk/media/40176082/climate-change-action-plan.pdf,,,NOC,,,,,,,,,Yes,
